Ingrediente Modelo,Ingrediente BBDD,Nutrients
LechugaVariada,Lechuga,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.95, 'Azúcares': 1.19, 'Proteínas': 1.24, 'Sal': 0.0, 'Grasas': 0.26}"
Canonigos,Canonigos,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.267, 'Azúcares': 0.0, 'Proteínas': 0.976875, 'Sal': 23.0, 'Grasas': 0.07125}"
Espinacas,SPINACH,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 1.46, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 90.3, 'Grasas': 0.73}"
Rucula,Arugula,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.3195, 'Azúcares': 0.0, 'Proteínas': 109375.0, 'Sal': 28.88, 'Grasas': 0.1563}"
Cuscus,couscous,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'False', 'Lactosa': 0.0, 'Hierro': 0.38, 'Azúcares': 0.1, 'Proteínas': 3.79, 'Sal': 5.0, 'Grasas': 0.16}"
Pasta,pasta,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'False', 'Lactosa': 0.0, 'Hierro': 0.5, 'Azúcares': 0.56, 'Proteínas': 5.8, 'Sal': 131.0, 'Grasas': 0.93}"
Quinoa,quinoa,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 3.55, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 0.0, 'Grasas': 6.45}"
Tomate,Tomatoes,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.33, 'Azúcares': 0.0, 'Proteínas': 0.83, 'Sal': 6.0, 'Grasas': 0.63}"
Pepino,cucumber,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.0, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 0.0, 'Grasas': 0.25}"
Zanahoria,Carrots,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.1504, 'Azúcares': 0.0, 'Proteínas': 0.94125, 'Sal': 86.65, 'Grasas': 0.3506}"
Aguacate,avocado,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.0, 'Azúcares': 0.5, 'Proteínas': 1.9, 'Sal': 0.0, 'Grasas': 19.5}"
Manzana,APPLESFUJI,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.0, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 0.0, 'Grasas': 0.1}"
Pinya,Pineapple,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.054, 'Azúcares': 11.42, 'Proteínas': 0.4609375, 'Sal': 0.0, 'Grasas': 0.2113}"
Platano,BANANASRIPE,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.0, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 0.0, 'Grasas': 0.62}"
Kiwi,Kiwi,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.34, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 8.0, 'Grasas': 0.0}"
Pasas,raisins,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 2.59, 'Azúcares': 78.5, 'Proteínas': 2.52, 'Sal': 28.0, 'Grasas': 0.54}"
PipasCalabazaTostadas,pumpkinSeeds,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 8363.0, 'Azúcares': 0.0, 'Proteínas': 299079.0, 'Sal': 0.0, 'Grasas': 40.03}"
PipasGirasol,sunflowerSeed,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 4.37, 'Azúcares': 0.0, 'Proteínas': 188733.0, 'Sal': 0.0, 'Grasas': 48.44}"
Nueces,walnuts,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 2235.0, 'Azúcares': 0.0, 'Proteínas': 145644.0, 'Sal': 0.0, 'Grasas': 69.74}"
Datiles,dates,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.9, 'Azúcares': 66.5, 'Proteínas': 1.81, 'Sal': 1.0, 'Grasas': 0.15}"
Ciruelas,ciruelas,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.0, 'Azúcares': 35.2, 'Proteínas': 1.8, 'Sal': 0.02, 'Grasas': 0.7}"
TomateSeco,TomatoSunDried,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 9.09, 'Azúcares': 37.6, 'Proteínas': 14.1, 'Sal': 107.0, 'Grasas': 2.97}"
Tofu,Tofu,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 4.87, 'Azúcares': 0.0, 'Proteínas': 18.8, 'Sal': 16.0, 'Grasas': 20.2}"
Atun,Tuna,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 1.67, 'Azúcares': 0.0, 'Proteínas': 19.0, 'Sal': 219.0, 'Grasas': 0.94}"
PolloCorralPlancha,Chickenbreast,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.3543, 'Azúcares': 0.0, 'Proteínas': 22525.0, 'Sal': 65.75, 'Grasas': 1934.0}"
PolloCorralEspeciado,ChickenGround,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.5926, 'Azúcares': 0.0, 'Proteínas': 179125.0, 'Sal': 62.95, 'Grasas': 7161.0}"
BaconNatural,Bacon,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 1.19, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 1400.0, 'Grasas': 41.9}"
BaconAhumadoTiras,Baconcooked,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 1.49, 'Azúcares': 0.0, 'Proteínas': 0.0, 'Sal': 2210.0, 'Grasas': 39.3}"
QuesoFresco,quesofresco,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'False', 'Lactosa': 0.7, 'Hierro': 0.0, 'Azúcares': 0.0, 'Proteínas': 188848.0, 'Sal': 626.5, 'Grasas': 23.36}"
Mozzarella,mozzarella,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.66, 'Hierro': 0.2, 'Azúcares': 1.81, 'Proteínas': 23.7, 'Sal': 699.0, 'Grasas': 20.4}"
Emmental,cheeseEmmental,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.9, 'Hierro': 0.17, 'Azúcares': 0.36, 'Proteínas': 29.8, 'Sal': 714.0, 'Grasas': 32.3}"
Camembert,cheeseCamembert,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.8, 'Hierro': 0.33, 'Azúcares': 0.46, 'Proteínas': 19.8, 'Sal': 842.0, 'Grasas': 24.3}"
Parmesano,parmesan,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.7, 'Hierro': 0.45, 'Azúcares': 0.07, 'Proteínas': 29.6, 'Sal': 1750.0, 'Grasas': 28.0}"
QuesoCabra,cheeseGoat,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.7, 'Hierro': 1.9, 'Azúcares': 0.0, 'Proteínas': 18.5, 'Sal': 459.0, 'Grasas': 21.1}"
Vinagreta,vinagreta 				,
CurryMango,currymango,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.7, 'Hierro': 0.6, 'Azúcares': 0.2, 'Proteínas': 0.16, 'Sal': 0.19, 'Grasas': 0.22}"
Balsamica,balsamica,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.6, 'Azúcares': 0.2, 'Proteínas': 0.16, 'Sal': 0.19, 'Grasas': 0.22}"
MielMostaza,mielmostaza,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.6, 'Azúcares': 0.2, 'Proteínas': 0.16, 'Sal': 0.19, 'Grasas': 0.22}"
Basica,basica,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.6, 'Azúcares': 0.2, 'Proteínas': 0.16, 'Sal': 0.19, 'Grasas': 0.22}"
SalsaYogurt,salsayogur,"{'Vegano': 'False', 'Vegetariano': 'False', 'Sin Gluten': 'False', 'Lactosa': 0.7, 'Hierro': 0.6, 'Azúcares': 0.2, 'Proteínas': 0.16, 'Sal': 0.19, 'Grasas': 0.22}"
Normal,normal,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.6, 'Azúcares': 0.13, 'Proteínas': 0.9, 'Sal': 0.12, 'Grasas': 0.15}"
Big,big,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.7, 'Azúcares': 0.13, 'Proteínas': 0.9, 'Sal': 0.12, 'Grasas': 0.15}"
Neapolitan,neapolitan,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'False', 'Lactosa': 0.0, 'Hierro': 0.8, 'Azúcares': 0.13, 'Proteínas': 0.9, 'Sal': 0.12, 'Grasas': 0.15}"
Sicilian,sicilian,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'False', 'Lactosa': 0.0, 'Hierro': 0.9, 'Azúcares': 0.13, 'Proteínas': 0.9, 'Sal': 0.12, 'Grasas': 0.15}"
CheesyCrust,cheesycrust     ,
QuesoSinLactosa,quesosinlactosa,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.12, 'Azúcares': 0.13, 'Proteínas': 0.9, 'Sal': 0.12, 'Grasas': 0.15}"
MasaSinGluten,masaglutenfree,"{'Vegano': 'True', 'Vegetariano': 'True', 'Sin Gluten': 'True', 'Lactosa': 0.0, 'Hierro': 0.11, 'Azúcares': 0.13, 'Proteínas': 0.9, 'Sal': 0.12, 'Grasas': 0.15}"
